Model,MSO4104B-L
Firmware Version,2.90

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.0488
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.16
,
,
,
Label,BATT_V
TIME,CH1
-4.0280e-02,-0.00525781
-4.0260e-02,-0.0101484
-4.0240e-02,-0.00113281
-4.0220e-02,-0.0021875
-4.0200e-02,-0.00853906
-4.0180e-02,-0.0111406
-4.0160e-02,-0.000109375
-4.0140e-02,-0.00734375
-4.0120e-02,-0.00151562
-4.0100e-02,-0.00339063
-4.0080e-02,-0.00657813
-4.0060e-02,-0.0105625
-4.0040e-02,-0.00178906
-4.0020e-02,-0.0138594
-4.0000e-02,0.00120312
-3.9980e-02,-0.000664062
-3.9960e-02,-0.0101797
-3.9940e-02,0.00015625
-3.9920e-02,-0.00597656
-3.9900e-02,-0.00825
-3.9880e-02,-0.00760156
-3.9860e-02,-0.00823438
-3.9840e-02,-0.0142031
-3.9820e-02,-0.00667187
-3.9800e-02,-0.0122266
-3.9780e-02,-0.0102891
-3.9760e-02,-0.005875
-3.9740e-02,-0.00939844
-3.9720e-02,-0.00628125
-3.9700e-02,-0.00116406
-3.9680e-02,0.00565625
-3.9660e-02,-0.00471875
-3.9640e-02,-0.0100234
-3.9620e-02,-0.00028125
-3.9600e-02,-0.00396875
-3.9580e-02,-0.003625
-3.9560e-02,-0.00365625
-3.9540e-02,-0.00963281
-3.9520e-02,-0.0219688
-3.9500e-02,-0.00128906
-3.9480e-02,-0.0119531
-3.9460e-02,-0.00460938
-3.9440e-02,-0.00264062
-3.9420e-02,-0.00813281
-3.9400e-02,-0.000945312
-3.9380e-02,0.00396875
-3.9360e-02,-0.00698438
-3.9340e-02,-0.00620313
-3.9320e-02,0.00578125
-3.9300e-02,0.00314844
-3.9280e-02,-0.00703906
-3.9260e-02,-0.00248438
-3.9240e-02,0.00264844
-3.9220e-02,-0.00882031
-3.9200e-02,-0.00535937
-3.9180e-02,-0.00971875
-3.9160e-02,-0.0130078
-3.9140e-02,-0.0137891
-3.9120e-02,-0.00997656
-3.9100e-02,-0.0083125
-3.9080e-02,-0.00510938
-3.9060e-02,-0.00145313
-3.9040e-02,-0.0101875
-3.9020e-02,-0.008
-3.9000e-02,0.00417188
-3.8980e-02,0.00461719
-3.8960e-02,-0.00471094
-3.8940e-02,0.00352344
-3.8920e-02,0.00642969
-3.8900e-02,-0.00169531
-3.8880e-02,-0.00113281
-3.8860e-02,-0.0019375
-3.8840e-02,-0.0110312
-3.8820e-02,-0.000109375
-3.8800e-02,-0.00824219
-3.8780e-02,-0.00442969
-3.8760e-02,-0.00869531
-3.8740e-02,-0.009375
-3.8720e-02,-0.00161719
-3.8700e-02,-0.00670312
-3.8680e-02,0.00224219
-3.8660e-02,-0.00482031
-3.8640e-02,-0.00550781
-3.8620e-02,-0.00188281
-3.8600e-02,-0.00925781
-3.8580e-02,-0.00734375
-3.8560e-02,-0.00540625
-3.8540e-02,-0.00749219
-3.8520e-02,-0.00721875
-3.8500e-02,-0.00353906
-3.8480e-02,0.00294531
-3.8460e-02,-0.00250781
-3.8440e-02,-0.00192969
-3.8420e-02,-0.00823438
-3.8400e-02,-0.00786719
-3.8380e-02,-0.00408594
-3.8360e-02,0.000109375
-3.8340e-02,0.000195312
-3.8320e-02,-0.0117188
-3.8300e-02,-0.00434375
-3.8280e-02,-0.00574219
-3.8260e-02,-0.00846875
-3.8240e-02,0.00520312
-3.8220e-02,-0.00192969
-3.8200e-02,-0.00999219
-3.8180e-02,0.00233594
-3.8160e-02,-0.00990625
-3.8140e-02,-0.0110078
-3.8120e-02,0.00245313
-3.8100e-02,0.00192187
-3.8080e-02,-0.00824219
-3.8060e-02,-0.00120313
-3.8040e-02,-0.00267969
-3.8020e-02,-0.00836719
-3.8000e-02,0.00646094
